age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
5-6,motor skills (fine & gross),Improve hand–eye coordination.,Coloring within boundaries,Boundary control supports precision tasks.,Provide coloring activities with clear outlines.,"['Encourage slow coloring', 'Praise effort']","['Demand perfection', 'Criticize mistakes']",Precision improves gradually.
5-6,motor skills (fine & gross),Support fine motor planning skills.,Building with small blocks,Construction play strengthens coordination and planning.,Offer varied building materials and encourage creativity.,"['Allow experimentation', 'Encourage design']","['Control building', 'Limit creativity']",Hands-on play builds skills.
5-6,motor skills (fine & gross),Develop grip strength and control.,Buttoning and unbuttoning practice,Fastening skills support independence and coordination.,Practice with clothing or fabric boards.,"['Practice often', 'Be patient']","['Rush mastery', 'Do it for them']",Practice builds confidence.
5-6,motor skills (fine & gross),Improve gross motor balance.,Balancing on one foot,Balance supports coordination and body control.,Turn balancing into games or challenges.,"['Make it playful', 'Ensure safety']","['Force long holds', 'Ignore safety']",Play builds balance.
5-6,motor skills (fine & gross),Support coordination in movement.,Skipping and hopping practice,Skipping and hopping build coordination and rhythm.,Practice through songs and outdoor play.,"['Use music', 'Practice outdoors']","['Correct constantly', 'Rush learning']",Rhythm supports movement.
5-6,motor skills (fine & gross),Develop throwing and catching skills.,Catching and throwing a ball,Ball skills support coordination and teamwork.,Start with soft balls and short distances.,"['Start easy', 'Encourage practice']","['Use hard balls early', 'Criticize misses']",Success builds confidence.
5-6,motor skills (fine & gross),Encourage safe climbing skills.,Climbing safely,Climbing builds strength and coordination.,Supervise climbing activities and explain safety rules.,"['Supervise closely', 'Set safety rules']","['Allow risky behavior', 'Ignore safety']",Safety enables exploration.
5-6,motor skills (fine & gross),Support early cycling skills.,Riding a bicycle with training wheels,"Cycling supports balance, coordination, and confidence.","Practice cycling in safe, open spaces.","['Ensure safety gear', 'Practice regularly']","['Rush independence', 'Skip safety checks']",Confidence grows with practice.
5-6,motor skills (fine & gross),Improve hand endurance for fine motor tasks.,Sustaining fine motor activities,Endurance supports writing and classroom tasks.,Gradually increase time spent on drawing or crafting.,"['Increase duration slowly', 'Offer breaks']","['Force long sessions', 'Ignore fatigue']",Endurance builds gradually.
5-6,motor skills (fine & gross),Support precision in hand movements.,Using small tools precisely,Precision supports writing and self-care tasks.,"Use tweezers, droppers, or beads during play.","['Use playful tools', 'Supervise closely']","['Rush precision', 'Expect perfection']",Small tools build big skills.
5-6,motor skills (fine & gross),Build bilateral coordination.,Using both hands together,Bilateral skills support writing and dressing.,Encourage activities like tearing paper or rolling dough.,"['Encourage two-hand tasks', 'Model actions']","['Allow one-hand dominance only', 'Rush tasks']",Two hands work better together.
5-6,motor skills (fine & gross),Improve body awareness during movement.,Navigating obstacle courses,Obstacle courses improve coordination and planning.,Create simple indoor or outdoor obstacle paths.,"['Ensure safety', 'Encourage problem-solving']","['Make it too complex', 'Rush completion']",Movement builds awareness.
5-6,motor skills (fine & gross),Strengthen leg coordination and rhythm.,Jumping with control,Jumping supports balance and leg strength.,Practice jumping games using lines or hoops.,"['Use visual cues', 'Encourage safe landings']","['Ignore form', 'Push height']",Control matters more than height.
5-6,motor skills (fine & gross),Encourage coordinated whole-body movement.,Participating in action games,Action games improve coordination and listening.,Play games like Simon Says or follow-the-leader.,"['Give clear cues', 'Play together']","['Overcomplicate rules', 'Rush play']",Games build coordination naturally.
5-6,motor skills (fine & gross),Support posture and body alignment.,Maintaining proper posture,Good posture supports endurance and writing.,Remind gently during sitting and writing activities.,"['Model posture', 'Give gentle reminders']","['Nag constantly', 'Ignore discomfort']",Posture improves with awareness.
5-6,motor skills (fine & gross),Build stamina for outdoor play.,Engaging in sustained outdoor play,Stamina supports physical health and focus.,Encourage daily outdoor play with varied movement.,"['Encourage daily play', 'Hydrate properly']","['Limit movement excessively', 'Overstructure play']",Outdoor play fuels growth.
5-6,motor skills (fine & gross),Teach awareness of physical limits.,Recognizing body limits,Body awareness prevents injury.,Talk about resting when tired or stopping when unsafe.,"['Encourage listening to body', 'Model rest']","['Push exhaustion', 'Ignore signs of fatigue']",Listening to the body builds safety.
5-6,motor skills (fine & gross),Encourage enjoyment of physical movement.,Developing positive movement habits,Positive movement habits support lifelong health.,Celebrate effort and enjoyment rather than performance.,"['Celebrate participation', 'Keep it fun']","['Focus on competition', 'Criticize ability']",Joy keeps children moving.
5-6,social & peer interaction skills,Help the child practice sharing with peers.,Sharing materials during play,Sharing supports cooperation and positive peer relationships.,Use turn-based games and shared materials during playtime.,"['Model sharing', 'Praise cooperative behavior']","['Force sharing immediately', 'Shame reluctance']",Sharing grows with practice.
5-6,social & peer interaction skills,Encourage turn-taking in group activities.,Taking turns patiently,Turn-taking builds fairness and self-control.,Play games that naturally require waiting and turns.,"['Use games', 'Acknowledge waiting']","['Rush turns', 'Skip explanations']",Waiting is a social skill.
5-6,social & peer interaction skills,Support joining group play confidently.,Entering ongoing group play,Joining play supports friendship-building.,Role-play how to ask to join games politely.,"['Practice role-play', 'Encourage polite language']","['Push forcefully', 'Speak for the child']",Confidence comes from preparation.
