age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
24-26,fine motor,Stack rings on a peg in order,Develop sequencing skills and hand-eye coordination,['Ring stacker toy'],medium,7,indoor
24-26,fine motor,Press buttons on toys to create sounds,Enhance finger control and sensory feedback,['Toy with buttons and sounds'],easy,6,indoor
24-26,fine motor,Place puzzle pieces in correct positions,Develop problem-solving and fine motor coordination,['Simple wooden or foam puzzle'],medium,10,indoor
24-26,fine motor,Fold paper in simple ways,Build hand strength and bilateral coordination,['Paper sheets'],medium,5,indoor
24-26,fine motor,Squeeze and release a soft ball,Strengthen hand muscles and grip,['Soft squeezable ball'],easy,5,indoor
24-26,fine motor,Insert pegs into a pegboard with different shapes,Develop problem-solving and finger dexterity,"['Shape pegboard toy', 'Colored pegs']",medium,8,indoor
24-26,fine motor,Twist bottle caps on and off,Develop fine motor strength and control,['Plastic bottles with caps'],medium,7,indoor
24-26,fine motor,Press paint stamps onto paper,Encourage creativity and finger strength,"['Stamp toys', 'Paper', 'Child-safe paint']",medium,8,indoor
24-26,fine motor,Turn small knobs on toy instruments,Refine finger control and coordination,['Toy instruments with knobs'],medium,6,indoor
24-26,fine motor,Pull apart large Velcro shapes,Enhance finger strength and coordination,['Velcro shapes or strips'],medium,7,indoor
24-26,fine motor,Thread large rings onto a stick,Improve precision and bilateral coordination,"['Large rings', 'Wooden stick']",medium,8,indoor
24-26,fine motor,Squeeze clothespins to attach paper,Strengthen hand muscles and coordination,"['Clothespins', 'Paper sheet']",medium,7,indoor
24-26,fine motor,Press shapes into a playdough mat,Develop finger control and spatial awareness,"['Playdough mat', 'Shape stamps']",easy,6,indoor
24-26,fine motor,Twist and turn interlocking toys,Refine hand coordination and dexterity,['Interlocking toy pieces'],medium,8,indoor
24-26,fine motor,Place small balls into a container with tongs,Strengthen pincer grasp and hand-eye coordination,"['Tongs', 'Small balls', 'Container']",hard,10,indoor
24-26,fine motor,Sort shapes by size and color,Develop visual discrimination and precision,['Various shape blocks or cutouts'],medium,10,indoor
24-26,fine motor,Pull apart and reassemble chunky puzzle pieces,Improve problem-solving and fine motor control,['Chunky toddler puzzle'],medium,9,indoor
24-26,daily life / self help (montessori practical life),Pour water from a small jug into a cup,Develop hand control and independence,"['Small jug', 'Cup', 'Tray']",medium,8,indoor
24-26,daily life / self help (montessori practical life),Scoop rice or beans from one bowl to another,Enhance hand-eye coordination and concentration,"['Two small bowls', 'Rice or beans', 'Spoon']",medium,10,indoor
24-26,daily life / self help (montessori practical life),Wash hands with soap and water,Promote hygiene habits and independence,"['Soap', 'Water', 'Sink or bowl']",medium,5,indoor
24-26,daily life / self help (montessori practical life),Put on and take off socks,Develop self-dressing skills and finger dexterity,['Socks'],medium,7,indoor
24-26,daily life / self help (montessori practical life),Put shoes on with assistance,Encourage independence in dressing,['Shoes'],medium,8,indoor
24-26,daily life / self help (montessori practical life),Wipe a table with a small cloth,Promote responsibility and hand-eye coordination,"['Small cloth', 'Low table']",easy,5,indoor
24-26,daily life / self help (montessori practical life),Dust a shelf with a small duster,Develop care for the environment and coordination,"['Small duster', 'Low shelf']",easy,7,indoor
24-26,daily life / self help (montessori practical life),Pour dry cereal from one container to another,Strengthen hand coordination and control,"['Two small bowls', 'Cereal']",medium,8,indoor
24-26,daily life / self help (montessori practical life),Wipe up small spills with a cloth,Promote responsibility and motor skills,"['Small cloth', 'Tray or floor mat']",easy,6,indoor
24-26,daily life / self help (montessori practical life),Use a spoon to eat independently,Develop self-feeding and coordination,"['Spoon', 'Bowl of soft food']",medium,10,indoor
24-26,daily life / self help (montessori practical life),Open and close a small door or box,Enhance finger strength and control,['Small box with lid or toy cabinet'],medium,6,indoor
24-26,daily life / self help (montessori practical life),Pour water from cup to cup with minimal spillage,Refine pouring skills and focus,"['Two cups', 'Tray']",medium,8,indoor
24-26,daily life / self help (montessori practical life),Carry a small tray with toys safely,Build balance and responsibility,"['Small tray', 'Light toys']",medium,7,indoor
24-26,daily life / self help (montessori practical life),Fold a small cloth napkin,Encourage coordination and independence,['Small cloth napkin'],medium,6,indoor
24-26,daily life / self help (montessori practical life),Pick up toys and place them in a basket,Develop tidiness habits and coordination,"['Basket', 'Toys']",easy,5,indoor
24-26,daily life / self help (montessori practical life),Turn pages of a small notebook,Refine finger dexterity,['Small notebook'],easy,5,indoor
24-26,daily life / self help (montessori practical life),Pick up small objects and place into containers,Enhance hand-eye coordination and sorting skills,"['Small containers', 'Pom-poms or blocks']",medium,7,indoor
24-26,daily life / self help (montessori practical life),Push chairs under the table after use,Teach responsibility and gross motor coordination,['Child-sized chair and table'],easy,5,indoor
24-26,daily life / self help (montessori practical life),Put dirty clothes in laundry basket,Encourage self-help habits,"['Small laundry basket', 'Clothes']",medium,7,indoor
24-26,daily life / self help (montessori practical life),Turn taps on and off under supervision,Develop wrist and finger control,['Sink or small faucet'],medium,5,indoor
24-26,daily life / self help (montessori practical life),Wipe shoes or boots with a cloth,Introduce care of personal belongings,"['Cloth', 'Shoes or boots']",easy,6,indoor
24-26,daily life / self help (montessori practical life),Carry lightweight objects from one place to another,Improve balance and responsibility,['Light toys or containers'],easy,7,indoor
24-26,daily life / self help (montessori practical life),Spread soft butter or jam with a child-safe knife,Enhance hand coordination and independence,"['Soft butter or jam', 'Bread', 'Child-safe knife']",medium,10,indoor
24-26,daily life / self help (montessori practical life),Stack cups inside each other,Develop problem-solving and fine motor skills,['Set of stackable cups'],medium,7,indoor
24-26,daily life / self help (montessori practical life),Pour water from a small jug into a tray with minimal spilling,Refine pouring skills and independence,"['Small jug', 'Tray', 'Cup']",medium,8,indoor
24-26,daily life / self help (montessori practical life),Pick up small toys and place in designated baskets,Promote organization and tidiness habits,"['Toys', 'Baskets']",easy,6,indoor
24-26,daily life / self help (montessori practical life),Wipe small tables or trays with a damp cloth,Teach cleaning habits and fine motor coordination,"['Damp cloth', 'Table or tray']",medium,7,indoor
24-26,daily life / self help (montessori practical life),Open and close child-safe latches,Develop problem-solving skills and hand strength,['Child-safe latches or boxes'],medium,8,indoor
24-26,daily life / self help (montessori practical life),Place napkins or cloths on the table,Encourage responsibility and sequencing skills,"['Napkins or small cloths', 'Table']",easy,5,indoor
24-26,daily life / self help (montessori practical life),Use child-safe brush to clean low surfaces,Develop fine motor coordination and care habits,"['Child-safe brush', 'Low surface or tray']",medium,7,indoor
24-26,daily life / self help (montessori practical life),Stack small cups or bowls,Improve hand-eye coordination and spatial awareness,['Set of stackable cups or bowls'],medium,7,indoor
24-26,daily life / self help (montessori practical life),"Pour dry materials (rice, beans) from one container to another",Enhance precision and focus,"['Dry materials', 'Two small containers', 'Tray']",medium,8,indoor
24-26,daily life / self help (montessori practical life),Place utensils into a holder after use,Teach organization and independence,"['Spoons or forks', 'Holder or cup']",easy,5,indoor
24-26,daily life / self help (montessori practical life),Fold small clothes or cloths,Enhance coordination and self-help skills,['Small clothes or cloths'],medium,6,indoor
24-26,daily life / self help (montessori practical life),Open and close child-safe jars,Strengthen fingers and hand coordination,['Child-safe jars'],medium,7,indoor
24-26,daily life / self help (montessori practical life),Carry light objects from one area to another,Develop balance and responsibility,['Light objects or small toys'],easy,6,both
24-26,daily life / self help (montessori practical life),Stack small blocks or containers in order,Refine hand-eye coordination and problem-solving,['Small blocks or containers'],medium,7,indoor
