age_range,domain,activity,goal
5-6,social and emotional,Ask for help when facing difficulty instead of giving up,Develop problem-solving and persistence
5-6,social and emotional,Acknowledge others’ opinions even when disagreeing,Build respect and social awareness
5-6,social and emotional,Play cooperatively in small and large groups,Develop teamwork and social adaptability
5-6,social and emotional,Recognize when someone is feeling left out and include them,Encourage empathy and inclusivity
5-6,social and emotional,Discuss family traditions and similarities with classmates,Develop appreciation for diversity and social understanding
5-6,social and emotional,Take care of classroom plants or pets together,Encourage responsibility and cooperative behavior
5-6,social and emotional,Reflect on their behavior after conflicts,Promote self-awareness and accountability
5-6,social and emotional,Show kindness by sharing snacks or helping clean up,Encourage empathy and positive social habits
5-6,social and emotional,Recognize the importance of fairness in games,Develop moral reasoning and self-control
5-6,social and emotional,Use polite words during disagreements,Strengthen communication and conflict-resolution skills
5-6,social and emotional,Talk about what makes a good friend,Develop understanding of friendship and empathy
5-6,social and emotional,Accept constructive feedback positively,Build emotional resilience and growth mindset
5-6,social and emotional,Show self-control in frustrating situations,Enhance emotional regulation and coping abilities
5-6,social and emotional,Respect personal space and belongings of others,Reinforce boundaries and social etiquette
5-6,social and emotional,Work through disagreements with words rather than aggression,Develop problem-solving and conflict resolution skills
5-6,social and emotional,Recognize and express pride in accomplishments,Promote self-esteem and confidence
5-6,social and emotional,Discuss how actions can affect others’ feelings,Encourage empathy and moral reasoning
5-6,social and emotional,Accept losing gracefully in games,Build sportsmanship and emotional maturity
5-6,social and emotional,Show initiative in helping without being asked,Encourage independence and social responsibility
5-6,social and emotional,Join group play without disrupting ongoing activities,Enhance adaptability and social awareness
5-6,social and emotional,Understand the difference between teasing and kindness,Develop empathy and social judgment
5-6,social and emotional,Participate in role-playing to understand different emotions,Enhance emotional literacy and perspective-taking
5-6,social and emotional,Help set up classroom routines with peers,Foster responsibility and teamwork
5-6,social and emotional,Encourage friends when they feel nervous or shy,Develop empathy and emotional support skills
5-6,social and emotional,Wait patiently for attention or assistance from adults,Improve impulse control and respect for others’ time
5-6,social and emotional,Express disappointment or frustration appropriately with words,Develop emotional awareness and healthy self-expression
5-6,social and emotional,Include everyone during group play or team games,Encourage inclusivity and kindness
5-6,social and emotional,Recognize when someone needs space and respect it,Build empathy and emotional intelligence
5-6,social and emotional,Practice saying sorry when hurting someone’s feelings,Foster accountability and emotional responsibility
5-6,social and emotional,Wait for their turn during classroom activities,Develop patience and social discipline
5-6,social and emotional,Offer to share materials with classmates during art or playtime,Encourage generosity and cooperation
5-6,social and emotional,Identify personal strengths and things they are proud of,Build self-confidence and positive self-image
5-6,social and emotional,Express excitement and happiness for a friend’s success,Promote empathy and positive social connections
5-6,social and emotional,Ask before using someone else’s belongings,Reinforce manners and respect for others
5-6,social and emotional,Join group discussions and listen to others’ viewpoints,Enhance communication and perspective-taking skills
5-6,social and emotional,"Describe emotions like happy, sad, angry, or scared accurately",Improve emotional vocabulary and recognition
5-6,social and emotional,Discuss how to handle teasing or disagreements calmly,Develop resilience and social problem-solving
5-6,social and emotional,Encourage peers to follow class rules positively,Foster leadership and cooperative behavior
5-6,social and emotional,Understand the concept of taking responsibility for mistakes,Promote honesty and accountability
